date,new_cases,new_deaths,new_recoveries,total_cases,total_deaths,total_recoveries,active_cases,tests_conducted,positivity_rate,vaccinations_daily
2020-01-22,3372,60,3203,3372,60,3203,107,43045,10.71,0
2020-01-23,266,4,253,3638,65,3456,116,3079,6.68,0
2020-01-24,4269,76,4056,7908,142,7512,253,28924,9.44,0
2020-01-25,8724,156,8288,16633,298,15801,533,91178,12.18,0
2020-01-26,22,0,21,16656,298,15823,534,340,13.89,0
2020-01-27,112,2,106,16768,300,15930,537,1614,11.76,0
2020-01-28,9274,165,8810,26042,466,24740,836,50375,11.46,0
2020-01-29,5316,94,5050,31359,560,29791,1007,35346,17.58,0
2020-01-30,0,0,0,31359,560,29791,1007,0,,0
2020-01-31,4414,78,4193,35774,638,33985,1149,54122,10.37,0
2020-02-01,0,0,0,35774,638,33985,1149,0,,0
2020-02-02,0,0,0,35774,638,33985,1149,0,,0
2020-02-03,3299,58,3134,39073,697,37120,1256,33188,8.27,0
2020-02-04,0,0,0,39073,697,37120,1256,0,,0
2020-02-05,0,0,0,39073,697,37120,1256,0,,0
2020-02-06,0,0,0,39073,697,37120,1256,0,,0
2020-02-07,0,0,0,39073,697,37120,1256,0,,0
2020-02-08,4477,78,4253,43550,775,41373,1402,45145,19.79,0
2020-02-09,0,0,0,43550,775,41373,1402,0,,0
2020-02-10,0,0,0,43550,775,41373,1402,0,,0
2020-02-11,10843,188,10301,54394,964,51674,1755,128913,9.54,0
2020-02-12,2611,45,2481,57005,1009,54155,1840,35866,17.65,0
2020-02-13,4315,74,4099,61321,1084,58255,1981,49038,7.9,0
2020-02-14,0,0,0,61321,1084,58255,1981,0,,0
2020-02-15,1768,30,1680,63090,1115,59935,2039,11676,7.8,0
2020-02-16,5321,91,5055,68412,1206,64991,2213,51171,7.99,0
2020-02-17,0,0,0,68412,1206,64991,2213,0,,0
2020-02-18,7239,124,6877,75652,1331,71869,2451,54059,9.82,0
2020-02-19,2677,45,2543,78329,1377,74412,2538,32836,15.62,0
2020-02-20,4556,78,4328,82885,1455,78741,2688,67972,8.54,0
